,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
246,0.15344138145446778,0.003577504340271483,0.027539730072021484,0.002316826346717639,55.950404465221425,3.8429182843163128,4,33,68,"{'classifier__l2_regularization': np.float64(55.950404465221425), 'classifier__learning_rate': np.float64(3.8429182843163128), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(33), 'classifier__min_samples_leaf': np.int64(68)}",0.7263545789545517,0.7321867321867321,0.6726726726726727,0.7168987168987169,0.7355992355992356,0.7167423872623818,0.022928876690505553,442
247,0.17600831985473633,0.00964026260360391,0.0281125545501709,0.0009307595741672822,0.15559878748854536,0.9715562227675372,2,23,6,"{'classifier__l2_regularization': np.float64(0.15559878748854536), 'classifier__learning_rate': np.float64(0.9715562227675372), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(23), 'classifier__min_samples_leaf': np.int64(6)}",0.8052408898594241,0.8008463008463008,0.799071799071799,0.7992082992082992,0.8011193011193011,0.8010973180210248,0.0022317616157240456,274
248,1.3003567218780518,0.023539675744396547,0.0429779052734375,0.001419655581185224,0.0017269520754097938,0.0017057420412183975,51,146,9,"{'classifier__l2_regularization': np.float64(0.0017269520754097938), 'classifier__learning_rate': np.float64(0.0017057420412183975), 'classifier__max_bins': np.int64(51), 'classifier__max_leaf_nodes': np.int64(146), 'classifier__min_samples_leaf': np.int64(9)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,333
249,0.20693740844726563,0.025615485645958096,0.033312654495239256,0.0015510697039930257,9.995553149984689e-05,0.36696725543974085,19,4,60,"{'classifier__l2_regularization': np.float64(9.995553149984689e-05), 'classifier__learning_rate': np.float64(0.36696725543974085), 'classifier__max_bins': np.int64(19), 'classifier__max_leaf_nodes': np.int64(4), 'classifier__min_samples_leaf': np.int64(60)}",0.8500068240753378,0.8532623532623532,0.8555828555828556,0.8495768495768495,0.852989352989353,0.8522836470973498,0.002229409746314376,101
250,0.15588736534118652,0.0044939158808711705,0.02633185386657715,0.003348997029092867,0.0004194848769293149,2.0757767122107618,13,27,1,"{'classifier__l2_regularization': np.float64(0.0004194848769293149), 'classifier__learning_rate': np.float64(2.0757767122107618), 'classifier__max_bins': np.int64(13), 'classifier__max_leaf_nodes': np.int64(27), 'classifier__min_samples_leaf': np.int64(1)}",0.7754879213866521,0.7841932841932842,0.5697515697515697,0.6977886977886978,0.6108381108381108,0.687611916791663,0.08595231034615883,453
251,0.6542279243469238,0.013126138018063019,0.040621376037597655,0.0007553263985186141,1.1256407514173263e-05,0.002802648935785244,2,48,1,"{'classifier__l2_regularization': np.float64(1.1256407514173263e-05), 'classifier__learning_rate': np.float64(0.002802648935785244), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(48), 'classifier__min_samples_leaf': np.int64(1)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,333
252,0.3045672416687012,0.028710431757769078,0.03358802795410156,0.0018827501757158213,0.28243117146439733,0.15240252925047257,2,10,17,"{'classifier__l2_regularization': np.float64(0.28243117146439733), 'classifier__learning_rate': np.float64(0.15240252925047257), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(10), 'classifier__min_samples_leaf': np.int64(17)}",0.8063327419134707,0.8022113022113022,0.8031668031668031,0.7971607971607971,0.8048048048048048,0.8027352898514355,0.003122828494400324,262
253,0.33144640922546387,0.008089668372443948,0.03775115013122558,0.0022683445754253253,4.171691994005175e-05,0.0018139960300856209,4,13,32,"{'classifier__l2_regularization': np.float64(4.171691994005175e-05), 'classifier__learning_rate': np.float64(0.0018139960300856209), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(13), 'classifier__min_samples_leaf': np.int64(32)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,333
254,0.6166164875030518,0.053884756322094794,0.03367958068847656,0.0007143757111152104,0.005525296144363554,0.1323240732491738,4,156,16,"{'classifier__l2_regularization': np.float64(0.005525296144363554), 'classifier__learning_rate': np.float64(0.1323240732491738), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(156), 'classifier__min_samples_leaf': np.int64(16)}",0.812747372730995,0.8128583128583129,0.8128583128583129,0.8105378105378105,0.8127218127218128,0.8123447243414489,0.0009051856378994995,241
255,0.2580580711364746,0.013934434313711892,0.03460111618041992,0.0015424619620406526,0.00027298764830080907,0.20764387885986696,2,3,1,"{'classifier__l2_regularization': np.float64(0.00027298764830080907), 'classifier__learning_rate': np.float64(0.20764387885986696), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(3), 'classifier__min_samples_leaf': np.int64(1)}",0.8023747782175515,0.803030303030303,0.8008463008463008,0.7956592956592956,0.8028938028938029,0.8009608961294508,0.0027618014289262243,276
256,0.6841042995452881,0.048725985847065965,0.039781045913696286,0.0010425266197130719,2.937703790097782,0.08937679366007514,2,91,93,"{'classifier__l2_regularization': np.float64(2.937703790097782), 'classifier__learning_rate': np.float64(0.08937679366007514), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(91), 'classifier__min_samples_leaf': np.int64(93)}",0.8066057049269824,0.8023478023478023,0.8003003003003003,0.7993447993447993,0.801938301938302,0.8021073817716372,0.0024987479409704933,265
257,0.5841462135314941,0.04190239802655736,0.0390012264251709,0.0010353350117733463,0.018742297493412895,0.0954639581316795,81,74,3,"{'classifier__l2_regularization': np.float64(0.018742297493412895), 'classifier__learning_rate': np.float64(0.0954639581316795), 'classifier__max_bins': np.int64(81), 'classifier__max_leaf_nodes': np.int64(74), 'classifier__min_samples_leaf': np.int64(3)}",0.8561484918793504,0.862953862953863,0.8594048594048594,0.8585858585858586,0.85995085995086,0.8594087865549582,0.0021985521361681357,35
